Athlete_ID,Event_ID,Event,Year,Medal,Age,Height,Weight,NOC
2,2,Judo Men's Extra-Lightweight,2012,,23,170,60,CHN
1464,5,Swimming Women's 200 metres Freestyle,2016,,14,168,54,CHN
6847,6,Swimming Women's 4 x 200 metres Freestyle Relay,2016,,14,168,54,CHN
6849,14,Swimming Women's 200 metres Backstroke,2012,,19,164,59,CHN
7598,16,Triathlon Men's Olympic Distance,2012,,26,173,66,CHN
11222,17,Triathlon Men's Olympic Distance,2016,,30,173,66,CHN
11238,27,Rhythmic Gymnastics Women's Group,2016,,22,173,55,CHN
17299,28,"Wrestling Men's Light-Heavyweight, Freestyle",2016,,27,183,87,CHN
17300,37,Athletics Women's Shot Put,2016,,23,182,115,CHN
17994,64,Badminton Men's Doubles,2012,Gold,32,181,68,CHN
18000,65,Athletics Men's 20 kilometres Walk,2012,,21,175,55,CHN
18003,66,Athletics Men's 20 kilometres Walk,2016,Silver,25,175,55,CHN
18005,67,Archery Women's Individual,2016,,24,175,70,CHN
18006,68,Archery Women's Team,2016,,24,175,70,CHN
18007,77,Athletics Men's Triple Jump,2012,,20,180,77,CHN
19563,78,Athletics Men's Triple Jump,2016,,24,180,77,CHN
19779,81,"Shooting Men's Air Rifle, 10 metres",2016,,28,175,75,CHN
20150,82,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",2016,,28,175,75,CHN
20159,84,Diving Men's Synchronized Platform,2012,Gold,17,160,42,CHN
20182,85,Diving Men's Springboard,2016,Gold,21,160,42,CHN
20184,86,Diving Men's Synchronized Springboard,2016,Bronze,21,160,42,CHN
20185,87,Swimming Women's 400 metres Freestyle,2016,,20,178,72,CHN
20194,89,Modern Pentathlon Men's Individual,2012,Silver,30,180,73,CHN
20211,90,Modern Pentathlon Men's Individual,2016,,34,180,73,CHN
20214,64,Badminton Men's Doubles,2012,,21,186,80,CHN
20215,91,Badminton Men's Doubles,2016,,25,186,80,CHN
20222,96,Synchronized Swimming Women's Team,2012,Silver,25,170,56,CHN
20235,102,Diving Men's Platform,2016,Gold,20,168,60,CHN
20238,103,Diving Men's Synchronized Platform,2016,Gold,20,168,60,CHN
20245,108,Swimming Men's 200 metres Breaststroke,2012,,20,184,77,CHN
20247,65,Athletics Men's 20 kilometres Walk,2012,Gold,19,175,62,CHN
20250,66,Athletics Men's 20 kilometres Walk,2016,,23,175,62,CHN
20251,116,Shooting Women's Trap,2016,,32,171,60,CHN
20258,117,Judo Women's Middleweight,2012,,21,170,70,CHN
20289,123,"Fencing Men's Foil, Individual",2016,,21,188,78,CHN
20290,124,"Fencing Men's Foil, Team",2016,,21,188,78,CHN
20291,136,Basketball Men's Basketball,2012,,23,187,73,CHN
20292,141,Swimming Women's 200 metres Backstroke,2016,,21,177,65,CHN
20299,142,Badminton Men's Singles,2012,,26,181,73,CHN
20307,151,"Fencing Women's Foil, Individual",2012,,24,166,65,CHN
20312,159,Weightlifting Men's Featherweight,2016,,23,162,65,CHN
20313,142,Badminton Men's Singles,2012,Bronze,23,188,81,CHN
20315,163,Badminton Men's Singles,2016,Gold,27,188,81,CHN
20354,168,Basketball Women's Basketball,2012,,29,195,94,CHN
20363,169,Basketball Women's Basketball,2016,,33,195,94,CHN
20374,170,Sailing Women's Windsurfer,2016,Silver,27,172,63,CHN
20381,174,Modern Pentathlon Women's Individual,2012,,25,163,54,CHN
