Athlete_ID,Name,Sex
2,A Lamusi,M
1464,Ai Yanhan,F
6847,Bai Anqi,F
6849,Bai Faquan,M
7598,Bao Yuqing,F
11222,Bi Shengfeng,M
11238,Bian Ka,F
17299,Cai Yun,M
17300,Cai Zelin,M
17994,Cao Hui,F
18000,Cao Shuo,M
18003,Cao Yifei,M
18005,Cao Yuan,M
18006,Cao Yue,F
18007,Cao Zhongrong,M
19563,Chai Biao,M
19779,Chang Si,F
20150,Chen Aisen,M
20159,Chen Cheng,M
20182,Chen Ding,M
20184,Chen Fang,F
20185,Chen Fei,F
20194,Chen Haiwei,M
20211,Chen Jianghua,M
20214,Chen Jie,F
20215,Chen Jin,M
20222,Chen Jinyan,F
20235,Chen Lijun,M
20238,Chen Long,M
20245,Chen Nan,F
20247,Chen Peina,F
20250,Chen Qian,F
20251,Chen Qian,F
20258,Chen Ruolin,F
20289,Chen Xiaodong,F
20290,Chen Xiaojia,F
20291,Chen Xiaojun,F
20292,Chen Xiaoli,F
20299,Chen Xinyi,F
20307,Chen Yang,F
20312,Chen Yibing,M
20313,Chen Yin,M
20315,Chen Ying,F
20354,Cheng Changsong,M
20363,Cheng Feiyi,M
20374,Cheng Ming,F
20381,Cheng Wen,M
20386,Cheng Xunzhao,M
21356,Chu Jinling,F
24235,Cui Qiuxia,F
24911,Dai Jun,M
24913,Dai Xiaoxiang,M
25843,De Jiaojiao,F
27565,Deng Daokun,M
27569,Deng Linlin,F
27571,Deng Senyue,F
27572,Deng Shudi,M
27574,Deng Wei,F
27577,Deng Zhiwei,M
28657,Ding Feng,M
28660,Ding Jinhui,M
28662,Ding Ning,F
28663,Ding Xia,F
28664,Ding Yanyuhang,M
29366,Dong Bin,M
29367,Dong Cheng,F
29368,Dong Dong,M
29372,Dong Guojian,M
29374,Dong Jie,F
30180,Du Li,F
30184,Du Yu,M
30216,Duan Jingli,F
30717,Duo Bujie,M
33950,Fan Yang,M
33952,Fan Yilin,F
33974,Fang Yuting,F
34605,Feng Bin,F
34618,Feng Shanshan,F
34626,Feng Zhe,M
37394,Fu Baorong,F
37396,Fu Haifeng,M
37402,Fu Yuanhui,F
38395,Gao Ao,F
38397,Gao Chang,F
38398,Gao Chen,F
38410,Gao Lei,M
38411,Gao Lihua,F
38422,Gao Song,F
38424,Gao Xinglong,M
38427,Gao Yang,F
38431,Gao Yulan,F
39257,Ge Manqi,F
41418,Gong Jinjie,F
41419,Gong Lei,M
41420,Gong Lijiao,F
41425,Gong Xiangyu,F
43430,Gu Xiao,F
43432,Gu Xuesong,M
43434,Gu Yasha,F
43451,Guan Xin,F
43951,Guo Ailun,M
43959,Guo Fan,M
43963,Guo Jianli,M
43968,Guo Li,F
43977,Guo Shuang,F
43980,Guo Weiyang,M
43981,Guo Wenjun,F
43986,Guo Yue,F
43987,Guo Zhendong,M
45498,Han Yucheng,M
45877,Hao Jialu,F
45881,Hao Yun,M
46921,He Chao,M
46922,He Chong,M
46925,He Hongmei,F
46926,He Jianbin,M
46928,He Jin,F
46931,He Kexin,F
46936,He Wenna,F
46948,He Zi,F
49743,Hong Wei,M
50200,Hou Yawen,F
50204,Hou Yuzhuo,F
50557,Hu Binyuan,M
50565,Hu Jianguan,M
50570,Hu Minghai,M
50573,Hu Qianxun,M
50579,Hu Yadan,F
50581,Hu Yixuan,M
50587,Hua Shaoqing,F
50588,Hua Tian,M
50593,Huang Bokai,M
50594,Huang Changzhou,M
50602,Huang Cunguang,M
50604,Huang Dongyan,F
50611,Huang Hongpin,F
50624,Huang Li,F
50628,Huang Lizhu,F
50631,Huang Maoxing,M
50637,Huang Qiushuang,F
50641,Huang Shanshan,F
50646,Huang Sijing,F
50653,Huang Wenyi,F
50657,Huang Xiaoxiao,F
50660,Huang Xuechen,F
50661,Huang Xufeng,F
50672,Huang Zhe,M
50674,Huang Zhipeng,M
50923,Hui Ruoqi,F
50925,Hui Zicheng,M
54746,Ji Liping,F
54756,Ji Yanyan,F
54776,Jiang Fan,F
54779,Jiang Haiqi,M
54786,Jiang Kelu,M
54794,Jiang Tingting,F
54796,Jiang Wenwen,F
54797,Jiang Wenwen,F
54800,Jiang Yan,F
54808,Jiao Liuyang,F
54810,Jiao Yunlong,M
54894,Jin Wei,M
54900,Jin Ziwei,F
54909,Jing Ruixue,F
54911,Jing Yali,F
66273,Lan Xing,M
67473,Le Huilin,F
68450,Lei Sheng,M
69329,Li Dan,F
69336,Li Dongna,F
69337,Li Dongxiao,F
69349,Li Gen,M
69352,Li Guangyuan,M
69354,Li Guojie,M
69368,Li Haotong,M
69379,Li Hongxia,F
69394,Li Jianbo,M
69401,Li Jiaqi,F
69402,Li Jiaxing,F
69412,Li Jingjing,F
69415,Li Jinzhe,M
69416,Li Jinzi,F
69423,Li Jun,M
69437,Li Ling,F
69438,Li Ling,F
69439,Li Ling,F
69441,Li Lingwei,F
69443,Li Lu,F
69452,Li Muhao,M
69454,Li Na,F
69456,Li Na,F
69460,Li Peijing,F
69466,Li Qian,F
69467,Li Qiang,M
69482,Li Shanshan,F
69490,Li Shujin,M
69518,Li Xiang,M
69521,Li Xiaohong,F
69522,Li Xiaolu,F
69530,Li Xiaoxia,F
69532,Li Xiayan,M
69536,Li Xuanxu,F
69540,Li Xuerui,F
69542,Li Xueying,F
69545,Li Yajun,F
69550,Li Yanfeng,F
69556,Li Yanmei,F
69562,Li Ying,F
69570,Li Yue,F
69571,Li Yuehong,M
69578,Li Yunqi,M
69581,Li Zhangli,F
69586,Li Zhenzhu,F
69589,Li Zhilong,M
69594,Li Zhuhao,M
69597,Li Zicheng,M
69611,Liang Jiahong,M
69612,Liang Jing,F
69615,Liang Meiyu,F
69625,Liang Xiaojing,F
69629,Liang Xinping,F
