Event_ID,Sport,Event
2,Judo,Judo Men's Extra-Lightweight
5,#N/A,Swimming Women's 200 metres Freestyle
6,#N/A,Swimming Women's 4 x 200 metres Freestyle Relay
14,#N/A,Swimming Women's 200 metres Backstroke
16,#N/A,Triathlon Men's Olympic Distance
17,Gymnastics,Triathlon Men's Olympic Distance
27,Water Polo,Rhythmic Gymnastics Women's Group
28,Sailing,"Wrestling Men's Light-Heavyweight, Freestyle"
37,Football,Athletics Women's Shot Put
64,Judo,Badminton Men's Doubles
65,Taekwondo,Athletics Men's 20 kilometres Walk
66,Boxing,Athletics Men's 20 kilometres Walk
67,Athletics,Archery Women's Individual
68,Swimming,Archery Women's Team
77,Boxing,Athletics Men's Triple Jump
78,Judo,Athletics Men's Triple Jump
81,Football,"Shooting Men's Air Rifle, 10 metres"
82,Tennis,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
84,Wrestling,Diving Men's Synchronized Platform
85,Sailing,Diving Men's Springboard
86,Athletics,Diving Men's Synchronized Springboard
87,Wrestling,Swimming Women's 400 metres Freestyle
89,Rowing,Modern Pentathlon Men's Individual
90,Cycling,Modern Pentathlon Men's Individual
64,Judo,Badminton Men's Doubles
91,Athletics,Badminton Men's Doubles
96,Athletics,Synchronized Swimming Women's Team
102,Football,Diving Men's Platform
103,Modern Pentathlon,Diving Men's Synchronized Platform
108,Rowing,Swimming Men's 200 metres Breaststroke
65,Taekwondo,Athletics Men's 20 kilometres Walk
66,Boxing,Athletics Men's 20 kilometres Walk
116,Weightlifting,Shooting Women's Trap
117,Athletics,Judo Women's Middleweight
123,Hockey,"Fencing Men's Foil, Individual"
124,Basketball,"Fencing Men's Foil, Team"
136,Basketball,Basketball Men's Basketball
141,Equestrianism,Swimming Women's 200 metres Backstroke
142,Athletics,Badminton Men's Singles
151,Golf,"Fencing Women's Foil, Individual"
159,Synchronized Swimming,Weightlifting Men's Featherweight
142,Athletics,Badminton Men's Singles
163,Gymnastics,Badminton Men's Singles
168,Athletics,Basketball Women's Basketball
169,Athletics,Basketball Women's Basketball
170,Diving,Sailing Women's Windsurfer
174,Football,Modern Pentathlon Women's Individual
175,Athletics,Modern Pentathlon Women's Individual
176,Athletics,Swimming Women's 4 x 200 metres Freestyle Relay
187,Weightlifting,Diving Women's Platform
188,Volleyball,Diving Women's Synchronized Platform
189,Boxing,Diving Women's Synchronized Platform
201,Water Polo,"Fencing Women's Sabre, Individual"
169,Athletics,Basketball Women's Basketball
96,Athletics,Synchronized Swimming Women's Team
168,Athletics,Basketball Women's Basketball
207,Fencing,Swimming Women's 100 metres Butterfly
221,Handball,Athletics Women's Discus Throw
235,Football,Gymnastics Men's Team All-Around
236,Weightlifting,Gymnastics Men's Parallel Bars
237,Athletics,Gymnastics Men's Rings
238,Shooting,Gymnastics Men's Pommelled Horse
240,Synchronized Swimming,Swimming Men's 200 metres Butterfly
243,Athletics,"Shooting Women's Sporting Pistol, 25 metres"
244,Gymnastics,"Shooting Women's Sporting Pistol, 25 metres"
274,Athletics,Cycling Men's Team Sprint
285,Weightlifting,Swimming Men's 100 metres Backstroke
286,Athletics,Swimming Men's 4 x 100 metres Medley Relay
289,Athletics,Archery Women's Individual
290,Swimming,Archery Women's Team
292,Water Polo,Athletics Men's 400 metres Hurdles
294,Shooting,Judo Men's Middleweight
302,Hockey,Volleyball Women's Volleyball
312,Football,Hockey Women's Hockey
313,Athletics,Hockey Women's Hockey
319,Hockey,"Swimming Men's 1,500 metres Freestyle"
320,Hockey,Swimming Men's 4 x 200 metres Freestyle Relay
321,Athletics,Archery Men's Individual
322,Swimming,Archery Men's Team
312,Football,Hockey Women's Hockey
313,Athletics,Hockey Women's Hockey
326,Swimming,Sailing Men's Two Person Dinghy
330,Football,Gymnastics Women's Individual All-Around
331,Swimming,Gymnastics Women's Team All-Around
332,#N/A,Gymnastics Women's Floor Exercise
333,Boxing,Gymnastics Women's Uneven Bars
334,Tennis,Gymnastics Women's Balance Beam
335,Boxing,Rhythmic Gymnastics Women's Individual
336,Wrestling,Gymnastics Men's Individual All-Around
337,Boxing,Gymnastics Men's Team All-Around
338,Wrestling,Gymnastics Men's Floor Exercise
339,Wrestling,Gymnastics Men's Parallel Bars
340,Athletics,Gymnastics Men's Horizontal Bar
341,Wrestling,Gymnastics Men's Rings
342,Swimming,Gymnastics Men's Pommelled Horse
343,Weightlifting,Weightlifting Women's Middleweight
347,Athletics,"Wrestling Men's Super-Heavyweight, Freestyle"
348,Athletics,"Shooting Men's Rapid-Fire Pistol, 25 metres"
136,Basketball,Basketball Men's Basketball
353,Taekwondo,Table Tennis Women's Singles
354,Wrestling,Table Tennis Women's Team
355,Judo,Table Tennis Women's Singles
356,Boxing,Table Tennis Women's Team
357,Wrestling,Volleyball Women's Volleyball
358,Cycling,Basketball Men's Basketball
77,Boxing,Athletics Men's Triple Jump
78,Judo,Athletics Men's Triple Jump
359,Athletics,Boxing Women's Lightweight
361,Boxing,Trampolining Men's Individual
362,Athletics,Trampolining Men's Individual
369,Rowing,Athletics Men's Marathon
370,Basketball,Athletics Men's Marathon
6,#N/A,Swimming Women's 4 x 200 metres Freestyle Relay
388,Football,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres"
389,Art Competitions,"Shooting Women's Air Rifle, 10 metres"
390,Synchronized Swimming,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres"
395,Diving,Shooting Men's Trap
397,Athletics,Rowing Women's Single Sculls
370,Basketball,Athletics Men's Marathon
413,Rowing,"Cycling Men's Team Pursuit, 4,000 metres"
415,#N/A,Gymnastics Women's Team All-Around
416,Athletics,Gymnastics Women's Floor Exercise
417,Swimming,Gymnastics Women's Uneven Bars
418,Wrestling,Gymnastics Women's Balance Beam
289,Athletics,Archery Women's Individual
290,Swimming,Archery Women's Team
221,Handball,Athletics Women's Discus Throw
430,Swimming,Golf Women's Individual
235,Football,Gymnastics Men's Team All-Around
434,Shooting,Gymnastics Men's Floor Exercise
236,Weightlifting,Gymnastics Men's Parallel Bars
435,Diving,Gymnastics Men's Horizontal Bar
237,Athletics,Gymnastics Men's Rings
312,Football,Hockey Women's Hockey
64,Judo,Badminton Men's Doubles
91,Athletics,Badminton Men's Doubles
448,#N/A,Swimming Women's 100 metres Backstroke
449,Athletics,Swimming Women's 100 metres Backstroke
450,Boxing,Swimming Women's 4 x 100 metres Medley Relay
453,Water Polo,Water Polo Women's Water Polo
456,Rowing,Swimming Women's 4 x 100 metres Medley Relay
457,Volleyball,Football Women's Football
362,Athletics,Trampolining Men's Individual
312,Football,Hockey Women's Hockey
168,Athletics,Basketball Women's Basketball
169,Athletics,Basketball Women's Basketball
482,Football,Athletics Men's Long Jump
37,Football,Athletics Women's Shot Put
485,Boxing,Rowing Women's Coxless Pairs
487,Athletics,Athletics Women's 4 x 100 metres Relay
492,Wrestling,Cycling Women's Team Sprint
493,Athletics,Cycling Women's Sprint
494,Handball,Cycling Women's Keirin
495,Fencing,Cycling Women's Team Sprint
496,Football,Sailing Men's One Person Heavyweight Dinghy
497,Diving,Sailing Men's One Person Heavyweight Dinghy
499,#N/A,Athletics Women's Shot Put
37,Football,Athletics Women's Shot Put
357,Wrestling,Volleyball Women's Volleyball
507,Canoeing,Synchronized Swimming Women's Team
509,Swimming,Archery Men's Individual
510,Rowing,Archery Men's Team
457,Volleyball,Football Women's Football
168,Athletics,Basketball Women's Basketball
136,Basketball,Basketball Men's Basketball
358,Cycling,Basketball Men's Basketball
521,Gymnastics,Athletics Men's 4 x 100 metres Relay
90,Cycling,Modern Pentathlon Men's Individual
507,Canoeing,Synchronized Swimming Women's Team
550,#N/A,Cycling Women's Sprint
551,Athletics,Cycling Women's Keirin
492,Wrestling,Cycling Women's Team Sprint
552,Cycling,Gymnastics Men's Individual All-Around
235,Football,Gymnastics Men's Team All-Around
434,Shooting,Gymnastics Men's Floor Exercise
236,Weightlifting,Gymnastics Men's Parallel Bars
435,Diving,Gymnastics Men's Horizontal Bar
237,Athletics,Gymnastics Men's Rings
238,Shooting,Gymnastics Men's Pommelled Horse
554,Athletics,"Shooting Women's Air Pistol, 10 metres"
555,Athletics,"Shooting Women's Air Pistol, 10 metres"
354,Wrestling,Table Tennis Women's Team
64,Judo,Badminton Men's Doubles
573,Wrestling,Athletics Men's 50 kilometres Walk
576,Basketball,"Fencing Women's epee, Team"
577,Athletics,Swimming Men's 400 metres Freestyle
320,Hockey,Swimming Men's 4 x 200 metres Freestyle Relay
85,Sailing,Diving Men's Springboard
579,Triathlon,Diving Men's Springboard
582,Wrestling,Judo Women's Half-Lightweight
583,Cycling,Swimming Men's 4 x 100 metres Freestyle Relay
285,Weightlifting,Swimming Men's 100 metres Backstroke
584,Athletics,Swimming Men's 4 x 100 metres Freestyle Relay
453,Water Polo,Water Polo Women's Water Polo
331,Swimming,Gymnastics Women's Team All-Around
333,Boxing,Gymnastics Women's Uneven Bars
587,Athletics,Trampolining Women's Individual
588,#N/A,Trampolining Women's Individual
608,Taekwondo,Diving Women's Springboard
609,Athletics,Diving Women's Synchronized Springboard
610,Gymnastics,Diving Women's Springboard
91,Athletics,Badminton Men's Doubles
615,Diving,Swimming Women's 800 metres Freestyle
618,Fencing,Taekwondo Women's Featherweight
621,Swimming,Shooting Men's Double Trap
622,Fencing,Shooting Men's Double Trap
630,Rowing,Boxing Men's Flyweight
634,#N/A,"Canoeing Men's Canadian Doubles, Slalom"
635,Gymnastics,Boxing Men's Light-Welterweight
187,Weightlifting,Diving Women's Platform
641,Athletics,Swimming Men's 200 metres Individual Medley
646,Boxing,Athletics Women's Marathon
648,Cycling,"Equestrianism Mixed Three-Day Event, Individual"
649,Athletics,Athletics Men's Pole Vault
482,Football,Athletics Men's Long Jump
650,Swimming,"Canoeing Men's Kayak Singles, Slalom"
652,Rugby Sevens,Cycling Women's Team Pursuit
169,Athletics,Basketball Women's Basketball
657,Cycling,Cycling Women's Omnium
659,Football,Sailing Women's Two Person Dinghy
660,Synchronized Swimming,"Canoeing Men's Canadian Doubles, 1,000 metres"
330,Football,Gymnastics Women's Individual All-Around
331,Swimming,Gymnastics Women's Team All-Around
332,#N/A,Gymnastics Women's Floor Exercise
333,Boxing,Gymnastics Women's Uneven Bars
334,Tennis,Gymnastics Women's Balance Beam
587,Athletics,Trampolining Women's Individual
169,Athletics,Basketball Women's Basketball
667,Football,Rowing Women's Lightweight Double Sculls
668,Athletics,Rowing Women's Lightweight Double Sculls
673,Boxing,Athletics Women's 400 metres Hurdles
686,Handball,Synchronized Swimming Women's Duet
96,Athletics,Synchronized Swimming Women's Team
687,Wrestling,Synchronized Swimming Women's Duet
507,Canoeing,Synchronized Swimming Women's Team
688,Judo,Sailing Women's Two Person Dinghy
691,Athletics,Rowing Men's Lightweight Coxless Fours
695,Tennis,"Canoeing Men's Kayak Fours, 1,000 metres"
302,Hockey,Volleyball Women's Volleyball
357,Wrestling,Volleyball Women's Volleyball
699,Wrestling,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
704,Art Competitions,Swimming Women's 200 metres Breaststroke
456,Rowing,Swimming Women's 4 x 100 metres Medley Relay
168,Athletics,Basketball Women's Basketball
726,Volleyball,Cycling Women's Team Pursuit
320,Hockey,Swimming Men's 4 x 200 metres Freestyle Relay
729,Football,"Fencing Men's Sabre, Team"
96,Athletics,Synchronized Swimming Women's Team
96,Athletics,Synchronized Swimming Women's Team
726,Volleyball,Cycling Women's Team Pursuit
